Run   2:,Pupil H1 ,Pupil V1 ,Pupil D1 ,P-CR H1  ,P-CR V1  ,Dig Inp 1A
145709,  183.30,  151.20,  156.00,  -15.00,   -3.60,   14.00
145710,  183.50,  151.10,  158.00,  -14.90,   -3.80,   14.00
145711,  183.70,  151.10,  159.00,  -14.70,   -3.70,   14.00
145712,  183.80,  151.10,  159.00,  -14.60,   -3.70,   14.00
145713,  183.80,  151.00,  159.00,  -14.70,   -3.80,   14.00
145714,  183.60,  151.00,  159.00,  -14.80,   -3.80,   14.00
145715,  183.90,  151.00,  158.00,  -14.50,   -3.80,   14.00
145716,  183.80,  151.00,  156.00,  -14.60,   -3.80,   14.00
145717,  184.00,  151.00,  158.00,  -14.50,   -3.80,   14.00
145718,  184.10,  151.00,  157.00,  -14.70,   -3.80,   14.00
145719,  188.30,  150.80,  158.00,  -13.00,   -4.00,   14.00
145720,  200.00,  150.10,  162.00,   -7.10,   -4.30,   14.00
145721,  211.70,  149.40,  162.00,   -1.90,   -4.50,   14.00
145722,  223.70,  149.10,  159.00,    2.60,   -4.60,   14.00
145723,  234.70,  148.50,  161.00,    7.50,   -5.00,   14.00
145724,  241.50,  148.10,  161.00,   10.10,   -5.10,   14.00
145725,  245.10,  148.10,  160.00,   12.00,   -5.00,   14.00
145726,  245.20,  148.00,  161.00,   11.70,   -5.10,   14.00
145727,  245.80,  148.00,  161.00,   12.30,   -5.00,   14.00
145728,  245.90,  148.10,  161.00,   12.30,   -4.90,   14.00
145729,  246.00,  148.00,  163.00,   12.10,   -5.00,   14.00
145730,  246.10,  147.90,  162.00,   12.30,   -5.10,   14.00
145731,  246.50,  148.00,  162.00,   12.20,   -5.00,   14.00
145732,  246.50,  148.00,  162.00,   12.20,   -5.00,   14.00
145733,  246.50,  147.90,  161.00,   12.20,   -5.10,   14.00
145734,  246.60,  147.80,  160.00,   12.20,   -5.10,   14.00
145735,  246.60,  147.90,  160.00,   12.30,   -5.10,   14.00
145736,  246.80,  148.00,  159.00,   12.30,   -5.00,   14.00
145737,  246.70,  148.00,  160.00,   12.40,   -5.00,   14.00
145738,  246.70,  147.90,  158.00,   12.20,   -5.10,   14.00
145739,  246.80,  147.90,  158.00,   12.40,   -5.10,   14.00
145740,  246.80,  147.90,  159.00,   12.30,   -5.10,   14.00
145741,  246.80,  147.90,  157.00,   12.30,   -5.10,   14.00
145742,  246.80,  147.70,  159.00,   12.20,   -5.30,   14.00
145743,  246.80,  147.60,  158.00,   12.30,   -5.30,   14.00
145744,  246.80,  147.80,  157.00,   12.30,   -5.10,   14.00
145745,  246.90,  147.80,  159.00,   12.40,   -5.10,   14.00
145746,  246.70,  147.80,  157.00,   12.10,   -5.10,   14.00
145747,  246.70,  147.80,  157.00,   12.20,   -5.10,   14.00
145748,  246.80,  147.70,  157.00,   12.10,   -5.30,   14.00
145749,  246.80,  147.70,  157.00,   12.30,   -5.30,   14.00
145750,  246.90,  147.80,  156.00,   12.20,   -5.10,   14.00
